ticker,announce_date,announce_hour,eps_est,eps_act
AVGO,2023-03-02,16.0,1.02,1.03
AVGO,2022-12-08,16.0,1.03,1.05
AVGO,2022-09-01,16.0,0.95,0.97
AVGO,2022-05-26,7.0,0.87,0.91
AVGO,2022-03-03,16.0,0.81,0.84
AVGO,2021-12-09,16.0,0.78,0.78
AVGO,2021-09-02,16.0,0.69,0.7
AVGO,2021-06-03,16.0,0.65,0.66
AVGO,2021-03-04,16.0,0.66,0.66
AVGO,2020-12-10,16.0,0.62,0.64
AVGO,2020-09-03,16.0,0.52,0.54
AVGO,2020-06-04,16.0,0.51,0.51
AVGO,2020-03-12,16.0,0.54,0.53
AVGO,2019-12-12,16.0,0.54,0.54
AVGO,2019-09-12,16.0,0.51,0.52
AVGO,2019-06-13,16.0,0.52,0.52
AVGO,2019-03-14,16.0,0.52,0.56
AVGO,2018-12-06,16.0,0.56,0.59
AVGO,2018-09-06,16.0,0.48,0.5
AVGO,2018-06-07,16.0,0.47,0.49
AVGO,2018-03-15,16.0,0.51,0.51
AVGO,2017-12-06,16.0,0.45,0.46
AVGO,2017-08-24,16.0,0.4,0.41
AVGO,2017-06-01,16.0,0.35,0.37
AVGO,2017-03-01,16.0,0.35,0.36
AVGO,2016-12-08,16.0,0.34,0.35
AVGO,2016-09-01,16.0,0.28,0.29
AVGO,2016-06-02,16.0,0.24,0.25
AVGO,2016-03-03,16.0,0.23,0.24
AVGO,2015-12-02,16.0,0.24,0.25
AVGO,2015-08-26,16.0,0.21,0.22
AVGO,2015-05-28,7.0,0.2,0.21
AVGO,2015-02-25,16.0,0.19,0.21
AVGO,2014-12-03,16.0,0.17,0.2
AVGO,2014-08-28,16.0,0.11,0.13
ORCL,2026-12-10,15.0,1.89,
ORCL,2026-09-10,16.0,1.74,1.92
ORCL,2026-06-10,16.0,1.96,2.11
ORCL,2026-03-10,16.0,1.69,1.79
ORCL,2025-12-10,16.0,1.64,2.26
ORCL,2025-09-09,16.0,1.48,1.47
ORCL,2025-06-11,16.0,1.64,1.7
ORCL,2025-03-10,16.0,1.49,1.47
ORCL,2024-12-09,16.0,1.48,1.47
ORCL,2024-09-09,16.0,1.33,1.39
ORCL,2024-06-11,16.0,1.65,1.63
ORCL,2024-03-11,16.0,1.38,1.41
ORCL,2023-12-11,16.0,1.33,1.34
ORCL,2023-09-11,16.0,1.15,1.19
ORCL,2023-06-12,16.0,1.58,1.67
ORCL,2023-03-09,16.0,1.2,1.22
ORCL,2022-12-12,16.0,1.17,1.21
ORCL,2022-09-12,16.0,1.08,1.03
ORCL,2022-06-13,16.0,1.38,1.54
ORCL,2022-03-10,16.0,1.18,1.13
ORCL,2021-12-09,16.0,1.11,1.21
ORCL,2021-09-13,16.0,0.97,1.03
ORCL,2021-06-15,16.0,1.33,1.54
ORCL,2021-03-10,16.0,1.11,1.16
ORCL,2020-12-10,16.0,1.0,1.06
ORCL,2020-09-10,16.0,0.86,0.93
ORCL,2020-06-16,16.0,1.15,1.2
ORCL,2020-03-12,16.0,0.96,0.97
ORCL,2019-12-12,16.0,0.89,0.9
ORCL,2019-09-11,16.0,0.81,0.81
ORCL,2019-06-19,16.0,1.07,1.16
ORCL,2019-03-14,16.0,0.84,0.87
ORCL,2018-12-17,16.0,0.78,0.8
ORCL,2018-09-17,16.0,0.68,0.71
ORCL,2018-06-19,16.0,0.94,0.99
ORCL,2018-03-19,16.0,0.72,0.83
ORCL,2017-12-14,16.0,0.68,0.7
ORCL,2017-09-14,16.0,0.6,0.62
ORCL,2017-06-21,16.0,0.78,0.89
ORCL,2017-03-15,16.0,0.62,0.69
ORCL,2016-12-15,16.0,0.6,0.61
ORCL,2016-09-15,16.0,0.58,0.55
ORCL,2016-06-16,16.0,0.82,0.81
ORCL,2016-03-15,16.0,0.62,0.64
ORCL,2015-12-16,16.0,0.6,0.63
ORCL,2015-09-16,16.0,0.52,0.53
ORCL,2015-06-17,16.0,0.86,0.78
ORCL,2015-03-17,16.0,0.68,0.68
ORCL,2014-12-17,16.0,0.68,0.69
ORCL,2014-09-18,16.0,0.64,0.62
CRM,2026-12-02,15.0,3.45,
CRM,2026-08-26,16.0,3.27,5.9
CRM,2026-05-27,16.0,3.13,3.88
CRM,2026-02-25,16.0,3.05,3.81
CRM,2025-12-03,16.0,2.86,3.25
